Fecha;Rango_edad;Sexo;Casos;Hospitalizados;Ingresos_uci;Fallecidos
29/02/2020;0 a 9;Hombre;0;0;0;0
29/02/2020;10 a 19;Hombre;0;0;0;0
29/02/2020;20 a 29;Hombre;0;0;0;0
29/02/2020;30 a 39;Hombre;0;0;0;0
29/02/2020;40 a 49;Hombre;0;0;0;0
29/02/2020;50 a 59;Hombre;0;0;0;0
29/02/2020;60 a 69;Hombre;0;0;0;0
29/02/2020;70 a 79;Hombre;0;0;0;0
29/02/2020;80 a 89;Hombre;0;0;0;0
29/02/2020;90 a 99;Hombre;0;0;0;0
29/02/2020;Mayor de 100;Hombre;0;0;0;0
29/02/2020;0 a 9;Mujer;0;0;0;0
29/02/2020;10 a 19;Mujer;1;1;0;0
29/02/2020;20 a 29;Mujer;0;0;0;0
29/02/2020;30 a 39;Mujer;0;0;0;0
29/02/2020;40 a 49;Mujer;0;0;0;0
29/02/2020;50 a 59;Mujer;0;0;0;0
29/02/2020;60 a 69;Mujer;0;0;0;0
29/02/2020;70 a 79;Mujer;0;0;0;0
29/02/2020;80 a 89;Mujer;0;0;0;0
29/02/2020;90 a 99;Mujer;0;0;0;0
29/02/2020;Mayor de 100;Mujer;0;0;0;0
01/03/2020;0 a 9;Hombre;0;0;0;0
01/03/2020;10 a 19;Hombre;0;0;0;0
01/03/2020;20 a 29;Hombre;0;0;0;0
01/03/2020;30 a 39;Hombre;0;0;0;0
01/03/2020;40 a 49;Hombre;0;0;0;0
01/03/2020;50 a 59;Hombre;0;0;0;0
01/03/2020;60 a 69;Hombre;0;0;0;0
01/03/2020;70 a 79;Hombre;0;0;0;0
01/03/2020;80 a 89;Hombre;0;0;0;0
01/03/2020;90 a 99;Hombre;0;0;0;0
01/03/2020;Mayor de 100;Hombre;0;0;0;0
01/03/2020;0 a 9;Mujer;0;0;0;0
01/03/2020;10 a 19;Mujer;1;1;0;0
01/03/2020;20 a 29;Mujer;0;0;0;0
01/03/2020;30 a 39;Mujer;0;0;0;0
01/03/2020;40 a 49;Mujer;0;0;0;0
01/03/2020;50 a 59;Mujer;0;0;0;0
01/03/2020;60 a 69;Mujer;0;0;0;0
01/03/2020;70 a 79;Mujer;0;0;0;0
01/03/2020;80 a 89;Mujer;0;0;0;0
01/03/2020;90 a 99;Mujer;0;0;0;0
01/03/2020;Mayor de 100;Mujer;0;0;0;0
02/03/2020;0 a 9;Hombre;0;0;0;0
02/03/2020;10 a 19;Hombre;0;0;0;0
02/03/2020;20 a 29;Hombre;1;0;0;0
02/03/2020;30 a 39;Hombre;2;1;0;0
02/03/2020;40 a 49;Hombre;2;0;0;0
02/03/2020;50 a 59;Hombre;0;0;0;0
02/03/2020;60 a 69;Hombre;0;0;0;0
02/03/2020;70 a 79;Hombre;0;0;0;0
02/03/2020;80 a 89;Hombre;0;0;0;0
02/03/2020;90 a 99;Hombre;0;0;0;0
02/03/2020;Mayor de 100;Hombre;0;0;0;0
02/03/2020;0 a 9;Mujer;0;0;0;0
02/03/2020;10 a 19;Mujer;1;1;0;0
02/03/2020;20 a 29;Mujer;2;2;0;0
02/03/2020;30 a 39;Mujer;0;0;0;0
02/03/2020;40 a 49;Mujer;2;0;0;0
02/03/2020;50 a 59;Mujer;0;0;0;0
02/03/2020;60 a 69;Mujer;0;0;0;0
02/03/2020;70 a 79;Mujer;0;0;0;0
02/03/2020;80 a 89;Mujer;0;0;0;0
02/03/2020;90 a 99;Mujer;0;0;0;0
02/03/2020;Mayor de 100;Mujer;0;0;0;0
03/03/2020;0 a 9;Hombre;0;0;0;0
03/03/2020;10 a 19;Hombre;0;0;0;0
03/03/2020;20 a 29;Hombre;1;0;0;0
03/03/2020;30 a 39;Hombre;2;1;0;0
03/03/2020;40 a 49;Hombre;2;0;0;0
03/03/2020;50 a 59;Hombre;0;0;0;0
03/03/2020;60 a 69;Hombre;0;0;0;0
03/03/2020;70 a 79;Hombre;0;0;0;0
03/03/2020;80 a 89;Hombre;0;0;0;0
03/03/2020;90 a 99;Hombre;0;0;0;0
03/03/2020;Mayor de 100;Hombre;0;0;0;0
03/03/2020;0 a 9;Mujer;0;0;0;0
03/03/2020;10 a 19;Mujer;1;1;0;0
03/03/2020;20 a 29;Mujer;2;2;0;0
03/03/2020;30 a 39;Mujer;0;0;0;0
03/03/2020;40 a 49;Mujer;2;0;0;0
03/03/2020;50 a 59;Mujer;0;0;0;0
03/03/2020;60 a 69;Mujer;0;0;0;0
03/03/2020;70 a 79;Mujer;0;0;0;0
03/03/2020;80 a 89;Mujer;0;0;0;0
03/03/2020;90 a 99;Mujer;0;0;0;0
03/03/2020;Mayor de 100;Mujer;0;0;0;0
04/03/2020;0 a 9;Hombre;0;0;0;0
04/03/2020;10 a 19;Hombre;0;0;0;0
04/03/2020;20 a 29;Hombre;1;0;0;0
04/03/2020;30 a 39;Hombre;2;1;0;0
04/03/2020;40 a 49;Hombre;2;0;0;0
04/03/2020;50 a 59;Hombre;0;0;0;0
04/03/2020;60 a 69;Hombre;0;0;0;0
04/03/2020;70 a 79;Hombre;0;0;0;0
04/03/2020;80 a 89;Hombre;0;0;0;0
04/03/2020;90 a 99;Hombre;0;0;0;0
04/03/2020;Mayor de 100;Hombre;0;0;0;0
04/03/2020;0 a 9;Mujer;0;0;0;0
04/03/2020;10 a 19;Mujer;1;1;0;0
04/03/2020;20 a 29;Mujer;2;2;0;0
04/03/2020;30 a 39;Mujer;0;0;0;0
04/03/2020;40 a 49;Mujer;2;0;0;0
04/03/2020;50 a 59;Mujer;0;0;0;0
04/03/2020;60 a 69;Mujer;0;0;0;0
04/03/2020;70 a 79;Mujer;0;0;0;0
04/03/2020;80 a 89;Mujer;0;0;0;0
04/03/2020;90 a 99;Mujer;0;0;0;0
04/03/2020;Mayor de 100;Mujer;0;0;0;0
05/03/2020;0 a 9;Hombre;0;0;0;0
05/03/2020;10 a 19;Hombre;0;0;0;0
05/03/2020;20 a 29;Hombre;1;0;0;0
05/03/2020;30 a 39;Hombre;2;1;0;0
05/03/2020;40 a 49;Hombre;2;0;0;0
05/03/2020;50 a 59;Hombre;0;0;0;0
05/03/2020;60 a 69;Hombre;0;0;0;0
05/03/2020;70 a 79;Hombre;0;0;0;0
05/03/2020;80 a 89;Hombre;0;0;0;0
05/03/2020;90 a 99;Hombre;0;0;0;0
05/03/2020;Mayor de 100;Hombre;0;0;0;0
05/03/2020;0 a 9;Mujer;0;0;0;0
05/03/2020;10 a 19;Mujer;1;1;0;0
05/03/2020;20 a 29;Mujer;2;2;0;0
05/03/2020;30 a 39;Mujer;0;0;0;0
05/03/2020;40 a 49;Mujer;2;0;0;0
05/03/2020;50 a 59;Mujer;0;0;0;0
05/03/2020;60 a 69;Mujer;0;0;0;0
05/03/2020;70 a 79;Mujer;0;0;0;0
05/03/2020;80 a 89;Mujer;0;0;0;0
05/03/2020;90 a 99;Mujer;0;0;0;0
05/03/2020;Mayor de 100;Mujer;0;0;0;0
06/03/2020;0 a 9;Hombre;0;0;0;0
06/03/2020;10 a 19;Hombre;0;0;0;0
06/03/2020;20 a 29;Hombre;1;0;0;0
06/03/2020;30 a 39;Hombre;2;1;0;0
06/03/2020;40 a 49;Hombre;2;0;0;0
06/03/2020;50 a 59;Hombre;0;0;0;0
06/03/2020;60 a 69;Hombre;0;0;0;0
06/03/2020;70 a 79;Hombre;0;0;0;0
06/03/2020;80 a 89;Hombre;0;0;0;0
06/03/2020;90 a 99;Hombre;0;0;0;0
06/03/2020;Mayor de 100;Hombre;0;0;0;0
06/03/2020;0 a 9;Mujer;0;0;0;0
